"销售网点分玩法销售统计","","","","","","","","",""
"JX201","","","","","","","","",""
"日期范围：","2018-08-16~2018-08-16","","","","打印时间：","","","2018-08-17 11:50:01",""
"","","","","","","","","",""
"网点编码","网点名称","游戏编码","游戏名称","激活包数","激活金额","确认包数","确认金额","兑奖张数","兑奖金额"
"3301001507","普通门店","0475","动起来","0","0","0","0","4","45"
"3301001519","普通门店","0287","好彩头","1","600","1","600","0","0"
"3301001519","普通门店","0379","中国红","1","600","1","600","0","0"
"3301001519","普通门店","0381","中国红","1","600","1","600","0","0"
"3301001519","普通门店","0408","7","3","1,800","3","1,800","0","0"
"3301001519","普通门店","0473","数字密码","2","1,200","2","1,200","0","0"
"3301001523","普通门店","0292","绿翡翠9","0","0","0","0","11","160"
"3301001523","普通门店","0408","7","0","0","0","0","13","290"
"3301001523","普通门店","0451","麻辣6","0","0","0","0","2","15"
"3301001523","普通门店","0473","数字密码","0","0","0","0","15","210"
"3301001564","普通门店","0391","10来运转","0","0","0","0","1","10"
"3301001564","普通门店","0431","粉橙蓝","0","0","0","0","31","320"
"3301001564","普通门店","0452","旺旺","0","0","0","0","12","32"
"3301001564","普通门店","0453","旺旺","0","0","0","0","11","75"
"3301001564","普通门店","0471","全民健身日","0","0","0","0","2","30"
"3301001564","普通门店","0474","动起来","0","0","0","0","5","325"
"3301001564","普通门店","0475","动起来","0","0","0","0","5","75"
"3301001565","普通门店","0091","红宝石8S","0","0","0","0","1","10"
"3301001565","普通门店","0267","甜蜜蜜","0","0","0","0","2","15"
"3301001565","普通门店","0292","绿翡翠9","0","0","0","0","4","75"
"3301001565","普通门店","0408","7","0","0","0","0","2","70"
"3301001565","普通门店","0423","太空寻宝","0","0","0","0","9","72"
"3301001565","普通门店","0444","西游记","0","0","0","0","1","20"
"3301001565","普通门店","0465","十倍幸运","0","0","0","0","1","10"
"3301001566","普通门店","0334","好开心","0","0","0","0","5","45"
"3301001566","普通门店","0432","强力5","1","600","1","600","0","0"
"3301001566","普通门店","0474","动起来","1","600","1","600","0","0"
